2026-04-18 02:49:23.435 [main] INFO  com.mm.KafkaProducerApplication - Starting KafkaProducerApplication using Java 20 with PID 16788 (C:\Users\shubh\IdeaProjects\kafka-learning\kafka-producer\target\classes started by shubh in C:\Users\shubh\IdeaProjects\kafka-learning)
2026-04-18 03:54:28.170 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 31
2026-04-18 03:54:28.783 [http-nio-8080-exec-6] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:28.798 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 32
2026-04-18 03:54:29.303 [http-nio-8080-exec-4] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:29.310 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 33
2026-04-18 03:54:57.046 [http-nio-8080-exec-5] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:57.068 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 34
2026-04-18 03:54:57.630 [http-nio-8080-exec-2] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:57.636 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 35
2026-04-18 03:54:58.154 [http-nio-8080-exec-7] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:58.162 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 36
2026-04-18 03:54:58.650 [http-nio-8080-exec-9] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:58.657 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 37
2026-04-18 03:54:59.268 [http-nio-8080-exec-8] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:59.296 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 38
2026-04-18 03:54:59.833 [http-nio-8080-exec-10] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:54:59.849 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 39
2026-04-18 03:55:00.379 [http-nio-8080-exec-3] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:00.386 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 40
2026-04-18 03:55:00.956 [http-nio-8080-exec-1] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:00.965 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 41
2026-04-18 03:55:01.408 [http-nio-8080-exec-6] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:01.416 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 42
2026-04-18 03:55:06.750 [http-nio-8080-exec-4] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:06.759 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 43
2026-04-18 03:55:07.304 [http-nio-8080-exec-5] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:07.312 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 44
2026-04-18 03:55:07.897 [http-nio-8080-exec-2] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:07.910 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 45
2026-04-18 03:55:08.418 [http-nio-8080-exec-7] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:08.432 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 46
2026-04-18 03:55:09.027 [http-nio-8080-exec-9] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:09.031 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 47
2026-04-18 03:55:09.573 [http-nio-8080-exec-8] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:09.583 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 48
2026-04-18 03:55:10.414 [http-nio-8080-exec-10] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:10.445 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 49
2026-04-18 03:55:11.011 [http-nio-8080-exec-3] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:11.017 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 50
2026-04-18 03:55:11.716 [http-nio-8080-exec-1] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:11.730 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 51
2026-04-18 03:55:12.290 [http-nio-8080-exec-6] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:12.298 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 52
2026-04-18 03:55:12.756 [http-nio-8080-exec-4] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:12.767 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 53
2026-04-18 03:55:13.284 [http-nio-8080-exec-5] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:13.291 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 54
2026-04-18 03:55:13.710 [http-nio-8080-exec-2] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:13.719 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 55
2026-04-18 03:55:14.196 [http-nio-8080-exec-7] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:14.204 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 56
2026-04-18 03:55:14.770 [http-nio-8080-exec-9] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:14.784 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 57
2026-04-18 03:55:15.312 [http-nio-8080-exec-8] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:15.317 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 58
2026-04-18 03:55:15.896 [http-nio-8080-exec-10] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:15.905 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 59
2026-04-18 03:55:16.380 [http-nio-8080-exec-3] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:16.389 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 60
2026-04-18 03:55:16.990 [http-nio-8080-exec-1] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:16.998 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 61
2026-04-18 03:55:17.483 [http-nio-8080-exec-6] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:17.496 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 62
2026-04-18 03:55:18.088 [http-nio-8080-exec-4] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:18.099 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 63
2026-04-18 03:55:18.611 [http-nio-8080-exec-5] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:55:18.615 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 64
2026-04-18 23:25:40.136 [main] INFO  com.mm.KafkaProducerApplication - Starting KafkaProducerApplication using Java 20 with PID 11164 (C:\Users\shubh\IdeaProjects\kafka-learning\kafka-producer\target\classes started by shubh in C:\Users\shubh\IdeaProjects\kafka-learning)
2026-04-18 23:25:40.139 [main] INFO  com.mm.KafkaProducerApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-18 23:25:41.335 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-18 23:25:41.346 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
